od,gfp
0.004999999999999933,4.0
0.005533333333333266,7.333333333333333
0.006733333333333234,13.333333333333334
0.009833333333333267,17.0
0.012166666666666567,17.333333333333332
0.012933333333333267,18.333333333333332
0.013733333333333266,19.66666666666666
0.0143333333333333,23.0
0.015966666666666633,25.0
0.017533333333333265,25.333333333333332
0.0192333333333333,31.0
0.021533333333333304,34.33333333333333
0.021966666666666634,37.333333333333336
0.02849999999999993,42.33333333333332
0.0299333333333333,43.0
0.030899999999999966,45.0
0.0322333333333333,46.666666666666664
0.03349999999999993,51.333333333333336
0.03743333333333327,59.666666666666664
0.039199999999999964,63.0
0.03999999999999997,64.66666666666666
0.04316666666666663,66.66666666666667
0.04449999999999993,71.33333333333333
0.0457666666666666,73.0
0.048133333333333306,75.33333333333333
0.04999999999999993,77.66666666666667
0.05113333333333326,81.33333333333333
0.052666666666666605,85.0
0.05413333333333326,90.66666666666669
0.056133333333333306,91.0
0.05736666666666663,93.66666666666667
0.0585666666666666,102.66666666666669
0.061399999999999934,110.33333333333333
0.06276666666666662,115.33333333333333
0.06443333333333334,116.33333333333331
0.06586666666666664,123.66666666666664
0.0681666666666666,128.0
0.06936666666666659,135.0
0.07349999999999997,140.33333333333334
0.07519999999999993,142.33333333333334
0.0762333333333333,153.33333333333334
0.0832666666666666,154.0
0.08396666666666663,159.0
0.08653333333333328,165.0
0.09083333333333334,165.33333333333334
0.09126666666666661,172.0
0.09286666666666664,173.66666666666666
0.0936,175.33333333333334
0.09509999999999996,180.66666666666663
0.09646666666666666,182.99999999999997
0.0968666666666666,196.3333333333333
0.09856666666666664,199.66666666666663
0.0987666666666666,205.33333333333334
0.09883333333333326,205.99999999999997
0.0993,209.33333333333334
0.1062,211.66666666666663
0.10639999999999998,219.3333333333333
0.10656666666666663,223.3333333333333
0.10659999999999996,278.3333333333333
0.10759999999999997,281.3333333333333
0.10823333333333328,287.0
0.10889999999999998,293.6666666666667
0.10933333333333332,301.0
0.11073333333333328,309.6666666666667
0.11159999999999996,310.6666666666667
0.11169999999999997,318.3333333333333
0.11209999999999996,321.6666666666667
0.11353333333333326,327.3333333333333
0.11486666666666667,331.6666666666667
0.11546666666666656,335.0
0.11633333333333327,335.3333333333333
0.11646666666666661,343.0
0.11749999999999992,344.6666666666667
0.11926666666666659,353.3333333333333
0.12043333333333324,357.3333333333333
0.12116666666666664,359.3333333333333
0.12176666666666665,368.6666666666667
0.12329999999999997,373.6666666666667
0.12456666666666667,376.3333333333333
0.1251333333333333,388.0
0.12706666666666666,390.3333333333333
0.12759999999999994,395.6666666666667
0.12859999999999996,400.3333333333333
0.1306666666666666,405.0
0.13149999999999995,415.3333333333333
0.13186666666666663,423.3333333333333
0.13259999999999997,427.0
0.13409999999999997,433.3333333333333
0.1348333333333333,434.0
0.13553333333333328,444.3333333333333
0.1366666666666667,446.0
0.13826666666666662,460.0
0.1383333333333333,463.3333333333333
0.13926666666666662,471.6666666666667
0.1407333333333333,473.3333333333333
0.14193333333333327,479.0
0.14393333333333333,486.0
0.14426666666666665,488.3333333333333
0.14619999999999994,498.6666666666667
0.14769999999999997,510.3333333333333
0.14833333333333326,514.3333333333334
0.15109999999999996,518.3333333333334
0.1532,531.0
0.157,541.3333333333334
0.16046666666666662,552.6666666666666
0.16103333333333325,557.0
0.16509999999999994,569.6666666666666
0.17063333333333328,573.6666666666666
0.17356666666666667,575.3333333333334
0.17486666666666664,575.6666666666666
0.17629999999999993,584.0
