species,m_conc,substrate,max_od_r1,max_od_r2,max_od_r3
At,0.625,Succinate,0.0282333333333333,0.0385,0.0196999999999999
At,1.25,Succinate,0.0507,0.0597,0.0516666666666666
At,1.875,Succinate,0.1154333333333333,0.1257666666666666,0.1590333333333333
At,3.75,Succinate,0.2958666666666666,0.3039666666666666,0.3130666666666666
At,7.5,Succinate,0.5193666666666666,0.5253666666666668,0.5548666666666667
At,11.25,Succinate,0.6350666666666667,0.6487666666666667,0.6807666666666667
Oa,0.625,Succinate,0.0085999999999999,0.0088,0.0115333333333333
Oa,1.25,Succinate,0.0232,0.0355,0.0218666666666666
Oa,1.875,Succinate,0.0547,0.0540999999999999,0.0520999999999999
Oa,3.75,Succinate,0.1490333333333333,0.1508333333333333,0.1495333333333333
Oa,7.5,Succinate,0.5329666666666667,0.5237666666666667,0.5168666666666667
Oa,11.25,Succinate,0.8854333333333334,0.8826333333333334,0.8300333333333334
At+Oa,0.625,Succinate,0.0258,0.026,0.0143
At+Oa,1.25,Succinate,0.0788666666666666,0.067,0.0697333333333333
At+Oa,1.875,Succinate,0.1351,0.0994999999999999,0.1589
At+Oa,3.75,Succinate,0.2169666666666666,0.2160333333333333,0.2353666666666667
At+Oa,7.5,Succinate,0.4105666666666666,0.4167666666666666,0.4029666666666666
At+Oa,11.25,Succinate,0.5528666666666667,0.5195666666666667,0.5413666666666667
At,0.417,Glucose,0.0218,0.0405666666666666,0.0213
At,0.833,Glucose,0.0877333333333333,0.0772333333333333,0.0848333333333333
At,1.25,Glucose,0.2277666666666666,0.2195666666666666,0.2101666666666666
At,2.5,Glucose,0.419,0.4012,0.4141999999999999
At,5.0,Glucose,0.6923,0.6849999999999999,0.6829999999999999
At,7.5,Glucose,0.8987999999999999,0.8926,0.8929
Oa,0.417,Glucose,0.0088666666666666,0.0079666666666666,0.0084666666666666
Oa,0.833,Glucose,0.0206666666666666,0.0185666666666666,0.0206
Oa,1.25,Glucose,0.0519666666666666,0.0523666666666666,0.0535666666666666
Oa,2.5,Glucose,0.1178666666666666,0.1223666666666666,0.1205666666666666
Oa,5.0,Glucose,0.1730666666666666,0.1743666666666666,0.1756666666666666
Oa,7.5,Glucose,0.2375666666666666,0.2386666666666666,0.2348666666666666
At+Oa,0.417,Glucose,0.0182666666666666,0.0174666666666666,0.0238999999999999
At+Oa,0.833,Glucose,0.0478,0.0430999999999999,0.0473666666666666
At+Oa,1.25,Glucose,0.1276666666666666,0.1439666666666666,0.1212666666666666
At+Oa,2.5,Glucose,0.2947666666666667,0.3217666666666666,0.3221666666666666
At+Oa,5.0,Glucose,0.5928666666666667,0.6004999999999999,0.6027666666666667
At+Oa,7.5,Glucose,0.7871666666666666,0.7879666666666667,0.8000999999999999
At,"(0.625, 0.417)",Succinate+Glucose,0.0388333333333333,0.0368333333333333,0.036
At,"(1.25, 0.833)",Succinate+Glucose,0.1076,0.109,0.1182
At,"(1.875, 1.25)",Succinate+Glucose,0.1885666666666666,0.1872666666666666,0.1914666666666666
At,"(3.75, 2.5)",Succinate+Glucose,0.3678666666666666,0.3657666666666666,0.3840666666666666
At,"(7.5, 5.0)",Succinate+Glucose,0.7008333333333334,0.6944,0.7832333333333333
At,"(11.25, 7.5)",Succinate+Glucose,0.957,0.9894333333333334,1.052366666666667
Oa,"(0.625, 0.417)",Succinate+Glucose,0.0224999999999999,0.0160999999999999,0.0177999999999999
Oa,"(1.25, 0.833)",Succinate+Glucose,0.0876,0.0887,0.0847333333333333
Oa,"(1.875, 1.25)",Succinate+Glucose,0.1497333333333333,0.1505333333333333,0.1508333333333333
Oa,"(3.75, 2.5)",Succinate+Glucose,0.2908,0.2732,0.2890999999999999
Oa,"(7.5, 5.0)",Succinate+Glucose,0.5801666666666667,0.5793999999999999,0.5787666666666667
Oa,"(11.25, 7.5)",Succinate+Glucose,0.8916,0.8487666666666667,0.8454666666666667
At+Oa,"(0.625, 0.417)",Succinate+Glucose,0.0299,0.0288999999999999,0.0305
At+Oa,"(1.25, 0.833)",Succinate+Glucose,0.1065,0.1002333333333333,0.1066333333333333
At+Oa,"(1.875, 1.25)",Succinate+Glucose,0.1818333333333333,0.1824,0.1833
At+Oa,"(3.75, 2.5)",Succinate+Glucose,0.3519,0.3546,0.3584
At+Oa,"(7.5, 5.0)",Succinate+Glucose,0.6949666666666667,0.7300666666666666,0.7221666666666667
At+Oa,"(11.25, 7.5)",Succinate+Glucose,1.0655,1.0944333333333334,1.1048666666666669
