,species,reactor,sample_time,dilution,count,comment,Unnamed: 5,average,stdev,total,composition
0,at,M0,0.0,-5,10|12|14,,T0,240000000.0,40000000.000000015,240000000.0,1.0
1,at,M1,0.0,-5,13|17|18,,T0,319999999.99999994,52915026.22129178,319999999.99999994,1.0
2,at,M2,0.0,-5,11|15|12,,T0,253333333.3333333,41633319.98932262,253333333.3333333,1.0
3,at,M3,0.0,-1,0|0|0,,T0,,0.0,0.0,
4,at,M0,23.15,-5,10|10|12,,T1,213333333.3333333,23094010.767585047,213333333.3333333,1.0
5,at,M1,23.15,-5,3|4|2,,T1,59999999.99999999,19999999.999999996,59999999.99999999,1.0
6,at,M2,23.15,-5,7|15|14,,T1,239999999.99999997,87177978.87081344,239999999.99999997,1.0
7,at,M3,23.15,-6,5|3|7,,T1,1000000000.0,400000000.0,1000000000.0,1.0
8,at,M0,29.4,-5,7|12|7,,T2,173333333.33333334,57735026.918962575,173333333.33333334,1.0
9,at,M1,29.4,-5,8|7|10,,T2,166666666.66666666,30550504.63303892,166666666.66666666,1.0
10,at,M2,29.4,-5,16|15|14,,T2,299999999.99999994,19999999.99999997,299999999.99999994,1.0
11,at,M3,29.4,-6,7|7|10,,T2,1600000000.0,346410161.51377547,1600000000.0,1.0
12,at,M0,47.06,-5,10|10|9,,,193333333.3333333,11547005.383792516,193333333.3333333,1.0
13,at,M1,47.06,-5,2|1|2,,,33333333.33333333,11547005.383792514,33333333.33333333,1.0
14,at,M2,47.06,-5,7|7|9,,,153333333.3333333,23094010.767585013,153333333.3333333,1.0
15,at,M3,47.06,-6,7|6|6,,,1266666666.6666667,115470053.83792515,1266666666.6666667,1.0
16,at,M0,54.05,-5,8|10|9,,,179999999.99999997,20000000.0,179999999.99999997,1.0
17,at,M1,54.05,-4,30|25|22,,,51333333.333333336,8082903.768654761,51333333.333333336,1.0
18,at,M2,54.05,-5,7|10|9,,,173333333.3333333,30550504.633038916,173333333.3333333,1.0
19,at,M3,54.05,-6,11|11|8,,,2000000000.0,346410161.51377547,2000000000.0,1.0
20,at,M0,71.8,-5,6|3|7,,,106666666.66666667,41633319.989322655,106666666.66666667,1.0
21,at,M1,71.8,-4,10|15|12,,,24666666.666666668,5033222.956847167,24666666.666666668,1.0
22,at,M2,71.8,-5,8|6|6,,,133333333.33333333,23094010.767585013,133333333.33333333,1.0
23,at,M3,71.8,-6,4|7|8,,,1266666666.6666667,416333199.89322656,1266666666.6666667,1.0
24,at,M0,77.13,-5,5|9|5,,,126666666.66666664,46188021.535170056,126666666.66666664,1.0
25,at,M1,77.13,-5,2|2|6,,,66666666.666666664,46188021.53517006,66666666.666666664,1.0
26,at,M2,77.13,-5,5|7|5,,,113333333.33333333,23094010.76758504,113333333.33333333,1.0
27,at,M3,77.13,-6,8|7|7,,,1466666666.6666667,115470053.83792515,1466666666.6666667,1.0
28,at,M0,96.3,-5,3|4|3,,,66666666.666666664,11547005.383792507,66666666.666666664,1.0
29,at,M1,96.3,-5,2|5|3,,,66666666.66666666,30550504.633038927,66666666.66666666,1.0
30,at,M2,96.3,-5,10|6|8,,,159999999.99999997,39999999.999999985,159999999.99999997,1.0
31,at,M3,96.3,-6,2|3|4,,,600000000.0,200000000.0,600000000.0,1.0
