,species,reactor,sample_time,dilution,count,comment,average,stdev,total,composition
0,oa,M0,0.0,-5,20|7|15,T0,279999999.99999994,131148770.48603998,279999999.99999994,1.0
1,oa,M1,0.0,-5,25|26|26,T0,513333333.3333333,11547005.383792516,513333333.3333333,1.0
2,oa,M2,0.0,-5,17|20|16,T0,353333333.33333325,41633319.989322655,353333333.33333325,1.0
3,oa,M3,0.0,-1,0|0|0,T0,0.0,0.0,0.0,
4,oa,M0,22.3,-6,4|4|6,T1,933333333.3333334,230940107.6758503,933333333.3333334,1.0
5,oa,M1,22.3,-4,20|25|22,T1,44666666.666666664,5033222.956847167,44666666.666666664,1.0
6,oa,M2,22.3,-5,20|24|20,T1,426666666.6666666,46188021.53517009,426666666.6666666,1.0
7,oa,M3,22.3,-7,2|3|3,T1,5333333333.333333,1154700538.3792515,5333333333.333333,1.0
8,oa,M0,28.3,-5,50|40|45,T2,900000000.0,100000000.00000006,900000000.0,1.0
9,oa,M1,28.3,-4,17|12|13,T2,28000000.0,5291502.622129181,28000000.0,1.0
10,oa,M2,28.3,-6,2|3|2,T2,466666666.6666667,115470053.83792515,466666666.6666667,1.0
11,oa,M3,28.3,-6,16|15|20,T2,3400000000.0,529150262.2129181,3400000000.0,1.0
12,oa,M0,46.0,-6,5|4|5,T3,933333333.3333334,115470053.83792515,933333333.3333334,1.0
13,oa,M1,46.0,-4,8|8|10,T3,17333333.333333332,2309401.076758503,17333333.333333332,1.0
14,oa,M2,46.0,-6,5|3|3,T3,733333333.3333334,230940107.6758503,733333333.3333334,1.0
15,oa,M3,46.0,-7,4|2|3,T3,6000000000.0,2000000000.0,6000000000.0,1.0
16,oa,M0,52.8,-6,10|12|10,T4,2133333333.3333333,230940107.6758503,2133333333.3333333,1.0
17,oa,M1,52.8,-4,12|8|8,T4,18666666.666666668,4618802.153517006,18666666.666666668,1.0
18,oa,M2,52.8,-6,6|5|4,T4,1000000000.0,200000000.0,1000000000.0,1.0
19,oa,M3,52.8,-7,4|4|3,T4,7333333333.333333,1154700538.3792515,7333333333.333333,1.0
20,oa,M0,69.94,-6,8|7|9,T5,1600000000.0,200000000.0,1600000000.0,1.0
21,oa,M1,69.94,-4,10|15|12,T5,24666666.666666668,5033222.956847167,24666666.666666668,1.0
22,oa,M2,69.94,-6,5|5|4,T5,933333333.3333334,115470053.83792515,933333333.3333334,1.0
23,oa,M3,69.94,-6,26|20|23,T5,4600000000.0,600000000.0,4600000000.0,1.0
24,oa,M0,77.7,-6,8|7|8,T6,1533333333.3333333,115470053.83792515,1533333333.3333333,1.0
25,oa,M1,77.7,-4,29|25|18,T6,48000000.0,11135528.725660045,48000000.0,1.0
26,oa,M2,77.7,-6,12|10|11,T6,2200000000.0,200000000.0,2200000000.0,1.0
27,oa,M3,77.7,-6,24|33|30,T6,5800000000.0,916515138.991168,5800000000.0,1.0
28,oa,M0,94.0,-6,7|8|7,T7,1466666666.6666667,115470053.83792515,1466666666.6666667,1.0
29,oa,M1,94.0,-5,5|6|5,T7,106666666.66666666,11547005.383792523,106666666.66666666,1.0
30,oa,M2,94.0,-6,21|20|23,T7,4266666666.6666665,305505046.3303893,4266666666.6666665,1.0
31,oa,M3,94.0,-7,3|3|2,T7,5333333333.333333,1154700538.3792515,5333333333.333333,1.0
